,gender,age,university,degree_level,degree_major,academic_year,cgpa,residential_status,campus_discrimination,sports_engagement,average_sleep,study_satisfaction,academic_workload,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities
20,Male,21,PU,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,0,8,5,4,4,3,2,2,5,3,1,"Social Connections, Sleep"
21,Male,18,PU,Undergraduate,Computer Science,2nd year,3.75,Off-Campus,No,0,8,4,4,3,5,1,5,4,3,3,Religious Activities
22,Male,20,UOL,Undergraduate,Computer Science,1st year,3.75,On-Campus,No,6,4,4,2,1,4,2,2,4,5,4,Creative Outlets
23,Male,19,PU,Undergraduate,Computer Science,3rd year,3.75,On-Campus,No,3,6,3,4,5,1,3,5,4,2,5,"Religious Activities, Online Entertainment"
24,Male,20,PU,Undergraduate,Data Science,1st year,2.75,Off-Campus,No,3,8,4,4,4,5,5,3,4,5,4,Sleep
25,Male,20,UOL,Undergraduate,Computer Science,1st year,2.25,Off-Campus,Yes,3,8,4,3,4,5,3,4,2,2,4,Sleep
26,Male,20,UET,Undergraduate,Data Science,1st year,2.75,Off-Campus,Yes,0,6,2,3,2,1,4,4,1,5,3,Online Entertainment
27,Male,20,PU,Undergraduate,Computer Science,3rd year,3.25,Off-Campus,No,3,8,5,5,5,5,4,5,2,2,2,"Religious Activities, Social Connections, Online Entertainment"
28,Male,20,COMSATS,Undergraduate,Computer Science,2nd year,3.25,Off-Campus,No,0,6,4,5,4,5,2,1,4,4,5,"Religious Activities, Online Entertainment"
29,Male,17,PU,Undergraduate,Data Science,2nd year,3.25,Off-Campus,Yes,3,6,5,5,3,1,1,3,4,5,5,Religious Activities
30,Male,20,PU,Undergraduate,Data Science,1st year,3.25,Off-Campus,No,3,6,5,4,4,5,3,4,5,4,1,Creative Outlets
31,Female,20,UET,Undergraduate,Software Engineering,2nd year,2.25,On-Campus,Yes,0,4,5,4,5,5,3,3,2,5,5,"Religious Activities, Sports and Fitness"
32,Male,19,PU,Undergraduate,Information Technology,1st year,2.25,Off-Campus,No,3,4,5,5,3,5,1,4,3,4,4,"Religious Activities, Social Connections, Sleep"
33,Male,20,FAST,Undergraduate,Data Science,4th year,3.25,On-Campus,No,0,4,5,3,3,4,4,2,1,5,4,Online Entertainment
34,Male,17,PU,Undergraduate,Data Science,4th year,3.25,On-Campus,No,6,8,5,5,5,1,3,3,3,2,3,Sleep
35,Male,19,PU,Undergraduate,Computer Science,1st year,3.25,Off-Campus,No,0,8,4,5,4,4,4,1,3,4,5,"Religious Activities, Sports and Fitness, Online Entertainment"
36,Male,20,COMSATS,Postgraduate,Computer Science,1st year,2.25,Off-Campus,No,3,6,5,4,3,3,1,4,4,3,2,Online Entertainment
37,Male,22,KUST,Undergraduate,Computer Science,3rd year,0.0,Off-Campus,No,0,6,1,4,4,3,2,3,3,4,1,Online Entertainment
38,Male,20,UET,Undergraduate,Data Science,3rd year,2.75,Off-Campus,No,6,6,3,4,4,5,3,4,4,4,2,Sleep
39,Male,22,UET,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,3,6,4,5,5,5,3,1,3,3,4,"Religious Activities, Social Connections, Online Entertainment, Sleep"
40,Male,22,UMT,Undergraduate,Information Technology,3rd year,3.75,On-Campus,No,3,8,4,5,2,4,5,1,3,5,3,"Religious Activities, Social Connections, Online Entertainment"
41,Male,20,PU,Undergraduate,Data Science,3rd year,2.25,On-Campus,No,3,8,5,4,5,2,1,3,2,5,3,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
42,Male,20,PU,Undergraduate,Data Science,3rd year,2.75,Off-Campus,No,6,8,3,5,4,5,2,1,4,5,3,"Religious Activities, Creative Outlets"
43,Male,21,PU,Undergraduate,Information Technology,3rd year,3.25,Off-Campus,Yes,0,8,4,5,5,3,1,4,5,3,5,"Religious Activities, Social Connections"
44,Male,20,PU,Undergraduate,Computer Science,1st year,3.25,Off-Campus,No,7,6,5,4,4,3,3,3,2,1,5,Sports and Fitness
45,Male,19,PU,Undergraduate,Computer Science,3rd year,2.25,Off-Campus,No,0,6,5,2,4,1,4,1,3,3,2,"Creative Outlets, Social Connections, Online Entertainment"
46,Male,19,COMSATS,Undergraduate,Data Science,1st year,3.75,Off-Campus,No,3,6,3,4,5,1,2,2,4,2,1,Religious Activities
47,Female,23,PU,Undergraduate,Data Science,4th year,3.75,Off-Campus,Yes,0,6,2,4,1,5,4,5,5,1,1,"Religious Activities, Social Connections"
48,Female,21,UET,Undergraduate,Computer Science,1st year,2.75,Off-Campus,Yes,6,6,4,5,5,3,3,3,1,1,3,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
49,Male,19,PU,Undergraduate,Computer Science,4th year,3.75,Off-Campus,No,0,4,3,4,3,3,4,2,1,5,5,Online Entertainment
50,Male,20,COMSATS,Undergraduate,Information Technology,1st year,3.75,Off-Campus,No,7,6,5,5,5,5,3,5,3,5,3,Online Entertainment
51,Male,17,PU,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,0,8,5,4,3,3,1,3,1,4,1,Outdoor Activities
52,Male,20,COMSATS,Undergraduate,Software Engineering,3rd year,3.25,Off-Campus,No,6,8,3,5,5,3,2,2,3,1,2,Sleep
53,Male,19,UET,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,3,8,4,3,5,1,4,4,4,3,3,Outdoor Activities
54,Male,20,PU,Undergraduate,Data Science,4th year,2.75,Off-Campus,No,3,6,3,4,4,5,4,2,4,3,5,Sports and Fitness
55,Male,20,PU,Undergraduate,Data Science,2nd year,3.25,Off-Campus,Yes,7,6,5,3,5,3,1,4,5,3,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
56,Male,20,NUST,Undergraduate,Data Science,1st year,2.75,On-Campus,No,0,8,5,4,4,2,1,4,4,4,5,"Religious Activities, Online Entertainment"
57,Male,21,PU,Undergraduate,Computer Science,4th year,3.75,Off-Campus,No,0,6,5,5,5,3,4,2,3,3,5,Religious Activities
58,Male,19,KUST,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,3,8,4,5,5,3,4,3,4,2,5,Sports and Fitness
59,Male,22,COMSATS,Undergraduate,Computer Science,4th year,2.25,Off-Campus,No,0,6,5,4,5,3,1,5,3,3,5,"Religious Activities, Social Connections, Online Entertainment, Outdoor Activities"
60,Male,20,PU,Undergraduate,Computer Science,1st year,3.25,Off-Campus,No,0,6,5,5,5,2,3,5,4,4,5,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
61,Male,20,PU,Undergraduate,Data Science,3rd year,2.75,Off-Campus,No,0,6,4,3,1,2,3,5,2,3,1,Online Entertainment
62,Male,20,COMSATS,Undergraduate,Computer Science,2nd year,3.75,Off-Campus,No,0,8,5,4,3,5,5,2,4,1,5,Outdoor Activities
63,Male,19,PU,Undergraduate,Computer Science,3rd year,0.0,Off-Campus,No,7,8,5,2,4,3,4,2,2,3,2,Sports and Fitness
64,Male,21,PU,Undergraduate,Computer Science,2nd year,3.25,Off-Campus,No,0,6,4,5,4,1,1,2,2,3,2,"Religious Activities, Social Connections, Online Entertainment, Sleep"
65,Male,19,PU,Undergraduate,Data Science,1st year,2.75,Off-Campus,No,3,6,1,4,5,5,2,2,1,3,3,"Religious Activities, Online Entertainment"
66,Male,20,PU,Undergraduate,Computer Science,4th year,2.75,On-Campus,No,3,6,5,4,4,2,1,3,1,1,3,"Religious Activities, Sports and Fitness, Outdoor Activities"
67,Male,20,PU,Undergraduate,Data Science,2nd year,2.75,Off-Campus,Yes,0,8,5,3,4,4,3,1,4,5,4,Religious Activities
68,Male,22,UET,Undergraduate,Computer Science,2nd year,3.75,Off-Campus,No,3,6,4,5,3,3,3,5,4,1,1,"Religious Activities, Social Connections, Online Entertainment"
69,Male,20,PU,Undergraduate,Information Technology,1st year,3.75,Off-Campus,Yes,7,8,4,5,3,5,4,4,3,1,5,"Religious Activities, Social Connections, Online Entertainment"
70,Male,20,PU,Undergraduate,Information Technology,1st year,3.75,Off-Campus,No,0,6,3,2,3,5,5,3,5,5,4,Online Entertainment
71,Male,20,PU,Undergraduate,Information Technology,2nd year,2.75,Off-Campus,No,3,6,4,3,4,3,3,5,4,3,4,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
72,Male,20,FAST,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,0,6,3,4,3,3,3,4,3,3,2,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
73,Male,19,PU,Undergraduate,Data Science,1st year,0.0,Off-Campus,No,3,4,4,3,5,5,2,4,3,1,2,Religious Activities
74,Male,20,FAST,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,No,3,6,3,4,4,3,3,5,4,5,1,"Religious Activities, Social Connections, Online Entertainment, Outdoor Activities"
75,Male,19,UMT,Undergraduate,Data Science,2nd year,3.75,Off-Campus,No,7,6,5,4,4,5,2,4,2,2,1,Religious Activities
76,Male,20,PU,Undergraduate,Data Science,1st year,3.75,Off-Campus,No,0,6,4,3,5,5,3,5,4,4,1,Sleep
77,Male,19,PU,Undergraduate,Computer Science,3rd year,3.25,Off-Campus,No,7,8,4,5,2,4,1,3,3,3,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
78,Male,20,PU,Undergraduate,Computer Science,3rd year,3.25,Off-Campus,No,0,6,4,5,4,1,3,3,4,3,4,"Social Connections, Sleep"
79,Male,19,UET,Undergraduate,Computer Science,1st year,3.25,Off-Campus,No,3,6,3,5,1,5,4,4,3,3,4,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
80,Male,20,PU,Undergraduate,Data Science,3rd year,2.75,Off-Campus,No,0,8,3,4,2,1,5,3,4,5,5,"Religious Activities, Social Connections, Online Entertainment"
81,Male,20,PU,Undergraduate,Data Science,3rd year,2.75,On-Campus,No,3,6,3,4,5,3,3,1,5,2,2,Sports and Fitness
82,Female,19,PU,Undergraduate,Software Engineering,1st year,3.75,Off-Campus,No,0,6,4,4,4,3,4,3,1,1,5,Outdoor Activities
83,Male,20,COMSATS,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,0,4,4,5,3,2,4,3,4,2,1,"Religious Activities, Sports and Fitness"
84,Male,22,PU,Undergraduate,Data Science,4th year,2.75,Off-Campus,No,3,6,5,4,3,5,2,5,2,5,4,"Religious Activities, Social Connections, Online Entertainment"
85,Male,20,UET,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,0,6,5,4,5,5,5,4,4,4,5,"Religious Activities, Social Connections, Online Entertainment, Sleep"
86,Female,20,PU,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,7,8,5,3,4,5,3,3,2,2,4,Creative Outlets
87,Male,21,UET,Undergraduate,Computer Science,1st year,3.75,Off-Campus,Yes,0,6,5,5,2,1,2,4,4,4,1,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
88,Male,19,FAST,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,3,8,5,4,5,3,2,5,2,4,1,Sleep
89,Male,19,PU,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,3,8,4,5,3,4,1,2,3,3,5,"Religious Activities, Sports and Fitness"
90,Male,20,PU,Undergraduate,Computer Science,1st year,3.75,On-Campus,No,3,8,5,5,5,5,1,2,1,5,3,"Religious Activities, Creative Outlets"
91,Male,18,UET,Undergraduate,Computer Science,3rd year,2.75,On-Campus,No,3,6,5,3,4,4,2,4,4,3,2,"Religious Activities, Sports and Fitness, Outdoor Activities"
92,Male,20,PU,Undergraduate,Computer Science,1st year,2.25,Off-Campus,Yes,3,6,4,4,1,4,4,3,5,5,2,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
93,Female,21,PU,Undergraduate,Computer Science,1st year,2.75,On-Campus,No,7,4,5,5,5,3,4,3,1,1,5,"Social Connections, Online Entertainment"
94,Male,21,COMSATS,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,No,0,6,2,3,3,4,1,3,2,1,1,Nothing
95,Male,18,NUST,Undergraduate,Computer Science,3rd year,2.75,On-Campus,No,7,6,4,4,5,5,4,2,3,5,4,Online Entertainment
96,Male,20,PU,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,No,0,6,4,2,5,3,4,2,5,3,1,Outdoor Activities
97,Male,20,PU,Undergraduate,Data Science,1st year,3.75,On-Campus,No,0,6,4,2,5,5,4,2,3,1,1,"Religious Activities, Sports and Fitness, Outdoor Activities"
98,Male,21,PU,Undergraduate,Data Science,1st year,2.75,Off-Campus,No,3,6,3,5,2,4,4,1,2,5,1,Outdoor Activities
99,Male,19,UET,Undergraduate,Software Engineering,2nd year,2.75,Off-Campus,Yes,6,8,4,5,3,1,3,2,3,3,1,Religious Activities
100,Male,22,NUST,Undergraduate,Computer Science,1st year,3.25,On-Campus,No,7,8,5,5,4,4,4,4,3,3,1,Sleep
101,Male,22,UET,Undergraduate,Computer Science,1st year,3.25,Off-Campus,No,3,8,4,4,5,1,1,4,5,5,1,"Religious Activities, Online Entertainment, Outdoor Activities"
102,Male,20,PU,Undergraduate,Information Technology,1st year,2.75,Off-Campus,Yes,3,6,4,3,4,2,4,3,3,4,4,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
103,Male,20,PU,Undergraduate,Data Science,3rd year,2.75,On-Campus,No,6,6,5,3,5,5,3,2,2,4,4,"Online Entertainment, Sleep"
104,Male,20,PU,Undergraduate,Computer Science,1st year,2.75,On-Campus,No,0,8,4,3,4,3,1,5,5,1,2,"Religious Activities, Outdoor Activities"
105,Male,22,UET,Undergraduate,Data Science,3rd year,2.75,Off-Campus,Yes,3,6,1,4,5,5,1,4,3,1,2,"Creative Outlets, Social Connections, Online Entertainment"
106,Male,20,COMSATS,Undergraduate,Computer Science,1st year,3.25,On-Campus,No,0,8,5,5,4,1,3,5,2,3,3,"Religious Activities, Sports and Fitness"
107,Male,20,PU,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,7,8,2,4,5,5,2,5,4,1,2,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
108,Male,21,COMSATS,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,0,6,5,3,1,5,4,2,5,2,5,"Religious Activities, Social Connections"
109,Male,19,PU,Undergraduate,Computer Science,4th year,2.75,Off-Campus,No,3,8,3,2,4,3,4,4,4,4,1,"Religious Activities, Social Connections, Online Entertainment, Outdoor Activities"
110,Male,18,UMT,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,6,4,2,4,3,2,3,3,1,1,3,Sports and Fitness
111,Female,19,PU,Undergraduate,Information Technology,1st year,3.75,On-Campus,Yes,0,8,2,4,3,5,4,4,5,1,2,"Religious Activities, Sports and Fitness, Social Connections"
112,Male,21,COMSATS,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,3,6,3,4,4,3,3,2,2,2,3,"Religious Activities, Social Connections"
113,Female,20,FAST,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,3,6,4,4,4,3,3,1,4,5,2,Outdoor Activities
114,Male,22,UMT,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,0,6,4,5,5,3,1,4,4,1,2,"Sports and Fitness, Creative Outlets, Social Connections, Outdoor Activities, Sleep"
115,Female,20,PU,Undergraduate,Computer Science,4th year,3.75,Off-Campus,No,6,8,5,2,4,4,3,4,4,1,3,Sports and Fitness
116,Female,20,PU,Undergraduate,Data Science,3rd year,3.25,Off-Campus,Yes,0,8,5,5,4,4,3,2,3,3,1,Religious Activities
117,Male,20,FAST,Undergraduate,Data Science,1st year,3.75,Off-Campus,Yes,0,4,3,5,2,4,3,3,4,3,5,"Religious Activities, Social Connections"
118,Male,20,PU,Undergraduate,Information Technology,2nd year,3.75,Off-Campus,Yes,0,8,4,2,5,4,4,5,3,3,1,Religious Activities
119,Male,19,PU,Undergraduate,Computer Science,1st year,3.75,On-Campus,No,6,6,5,4,5,5,1,4,3,4,4,"Religious Activities, Sports and Fitness, Outdoor Activities"
120,Male,20,UET,Undergraduate,Computer Science,3rd year,2.75,On-Campus,No,3,8,4,4,4,4,1,3,3,5,2,Sports and Fitness
121,Male,18,PU,Undergraduate,Data Science,1st year,3.25,Off-Campus,No,0,8,4,4,4,5,2,3,2,4,2,"Religious Activities, Sports and Fitness, Sleep"
122,Male,17,UET,Undergraduate,Data Science,3rd year,3.75,On-Campus,No,3,8,5,4,5,4,4,4,3,3,2,"Religious Activities, Online Entertainment, Outdoor Activities"
123,Male,20,COMSATS,Undergraduate,Data Science,1st year,2.25,Off-Campus,No,3,6,4,4,3,5,3,3,4,4,4,Outdoor Activities
124,Female,19,PU,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,0,6,5,3,4,2,2,3,4,3,3,Sleep
125,Female,20,FAST,Undergraduate,Information Technology,4th year,0.0,Off-Campus,No,3,8,4,3,3,2,4,5,2,4,4,"Religious Activities, Sleep"
126,Male,19,PU,Undergraduate,Computer Science,4th year,2.75,Off-Campus,No,6,6,5,5,3,5,4,2,2,3,4,Religious Activities
127,Male,21,FAST,Undergraduate,Data Science,1st year,3.75,Off-Campus,No,7,6,5,4,5,3,1,2,5,2,5,"Religious Activities, Sports and Fitness, Sleep"
128,Male,19,PU,Undergraduate,Information Technology,4th year,3.75,Off-Campus,Yes,3,8,4,5,4,4,4,5,2,5,2,"Religious Activities, Online Entertainment, Outdoor Activities"
129,Female,21,UET,Undergraduate,Data Science,3rd year,3.25,Off-Campus,No,0,6,4,5,3,1,1,3,4,1,3,"Religious Activities, Social Connections, Online Entertainment"
130,Female,20,PU,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,Yes,3,6,4,5,4,1,3,4,4,4,3,"Religious Activities, Online Entertainment, Outdoor Activities"
131,Male,26,FAST,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,3,6,4,5,5,1,1,3,3,1,1,Religious Activities
132,Male,17,COMSATS,Undergraduate,Software Engineering,4th year,3.25,Off-Campus,No,0,6,5,3,4,2,1,1,1,3,1,Outdoor Activities
133,Female,22,KUST,Undergraduate,Computer Science,1st year,2.25,Off-Campus,No,0,8,3,5,4,4,4,4,2,5,3,"Religious Activities, Online Entertainment, Outdoor Activities"
134,Male,20,PU,Undergraduate,Data Science,4th year,3.75,Off-Campus,No,3,6,4,3,4,4,3,1,4,4,3,Nothing
135,Female,19,PU,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,Yes,3,8,3,2,4,2,3,3,3,4,4,Outdoor Activities
136,Male,20,PU,Undergraduate,Computer Science,3rd year,3.75,Off-Campus,No,6,8,4,3,4,4,2,4,3,3,3,"Religious Activities, Outdoor Activities"
137,Male,17,PU,Undergraduate,Data Science,3rd year,2.75,On-Campus,No,0,6,5,5,5,5,4,1,2,2,5,"Social Connections, Online Entertainment, Sleep"
138,Male,19,PU,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,No,6,6,3,3,4,5,1,2,1,3,4,"Religious Activities, Sports and Fitness, Social Connections"
139,Male,20,PU,Undergraduate,Data Science,3rd year,3.75,Off-Campus,No,7,8,4,4,4,3,1,3,5,2,3,Sports and Fitness
140,Male,21,UET,Undergraduate,Data Science,2nd year,3.25,Off-Campus,No,0,8,4,5,4,5,1,5,3,1,4,Sports and Fitness
141,Female,19,PU,Undergraduate,Data Science,4th year,3.75,Off-Campus,No,6,6,3,3,5,5,1,3,2,5,5,Outdoor Activities
142,Male,20,PU,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,6,8,5,5,4,1,3,3,1,1,4,"Religious Activities, Online Entertainment, Outdoor Activities"
143,Male,20,COMSATS,Undergraduate,Data Science,1st year,2.75,Off-Campus,Yes,0,6,5,5,5,1,4,2,5,5,2,"Religious Activities, Social Connections, Online Entertainment"
144,Male,19,PU,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,3,6,4,5,3,5,4,3,3,3,1,Religious Activities
145,Male,21,PU,Undergraduate,Computer Science,2nd year,3.25,Off-Campus,No,0,8,1,5,5,5,2,2,2,3,4,Sports and Fitness
146,Male,18,PU,Undergraduate,Information Technology,1st year,2.75,Off-Campus,No,3,6,5,3,3,3,4,5,4,1,3,Religious Activities
147,Male,18,PU,Undergraduate,Information Technology,3rd year,2.75,Off-Campus,No,3,6,4,4,4,5,4,3,5,5,2,Online Entertainment
148,Female,21,PU,Undergraduate,Computer Science,2nd year,3.25,Off-Campus,No,6,8,4,4,4,3,4,4,4,1,3,"Social Connections, Sleep"
149,Male,21,FAST,Undergraduate,Data Science,3rd year,3.75,On-Campus,No,7,8,4,4,4,5,5,3,3,3,1,Sleep
150,Male,20,PU,Undergraduate,Data Science,3rd year,3.25,Off-Campus,No,0,8,5,5,3,5,1,5,5,5,4,Religious Activities
151,Female,18,PU,Undergraduate,Computer Science,2nd year,2.75,On-Campus,No,0,8,3,3,4,4,2,4,3,5,3,Online Entertainment
152,Male,23,PU,Postgraduate,Data Science,1st year,1.75,Off-Campus,No,6,6,1,3,4,1,2,5,2,5,1,"Social Connections, Online Entertainment"
153,Male,20,PU,Undergraduate,Computer Science,2nd year,2.75,Off-Campus,Yes,0,6,4,5,5,5,4,5,3,5,4,"Religious Activities, Social Connections, Online Entertainment"
154,Male,19,PU,Undergraduate,Computer Science,2nd year,3.75,Off-Campus,No,7,6,5,5,4,3,4,3,3,4,1,"Religious Activities, Sports and Fitness, Online Entertainment"
155,Female,20,PU,Undergraduate,Computer Science,1st year,3.75,Off-Campus,Yes,3,6,5,3,4,5,3,4,5,2,5,"Social Connections, Sleep"
156,Male,20,PU,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,0,6,4,4,3,1,4,4,4,1,5,"Religious Activities, Sports and Fitness, Creative Outlets, Online Entertainment"
157,Female,19,COMSATS,Undergraduate,Computer Science,1st year,3.75,Off-Campus,No,0,4,4,4,5,3,3,5,4,4,5,Sports and Fitness
158,Male,21,COMSATS,Undergraduate,Computer Science,3rd year,0.0,Off-Campus,Yes,3,4,5,3,4,5,3,2,2,3,3,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
159,Female,20,COMSATS,Undergraduate,Computer Science,3rd year,3.25,On-Campus,No,3,8,1,2,4,5,1,3,3,2,5,"Religious Activities, Sports and Fitness, Online Entertainment"
160,Male,20,PU,Undergraduate,Data Science,3rd year,3.75,On-Campus,No,0,8,5,3,4,5,1,2,4,3,3,Religious Activities
161,Male,17,UET,Undergraduate,Computer Science,1st year,2.75,Off-Campus,No,6,4,3,3,4,2,2,3,3,3,5,"Religious Activities, Social Connections"
162,Male,21,PU,Undergraduate,Data Science,3rd year,0.0,Off-Campus,No,7,8,4,4,5,5,3,2,2,1,3,"Religious Activities, Online Entertainment"
163,Male,20,PU,Undergraduate,Information Technology,3rd year,2.75,Off-Campus,No,0,6,3,4,4,4,2,5,4,3,4,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
164,Male,21,PU,Undergraduate,Information Technology,3rd year,3.25,Off-Campus,No,0,6,5,5,3,5,1,1,2,5,3,Outdoor Activities
165,Male,20,PU,Undergraduate,Computer Science,3rd year,2.75,Off-Campus,Yes,3,6,5,4,5,2,5,5,4,3,5,"Religious Activities, Social Connections"
166,Male,21,PU,Undergraduate,Software Engineering,1st year,2.75,Off-Campus,No,6,8,5,5,1,2,3,1,3,4,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities, Sleep"
167,Male,20,PU,Undergraduate,Data Science,4th year,3.25,Off-Campus,Yes,7,6,5,5,5,1,5,3,4,4,5,"Religious Activities, Sports and Fitness, Social Connections"
168,Female,20,PU,Undergraduate,Computer Science,2nd year,3.75,Off-Campus,No,0,8,5,4,4,5,4,2,4,5,2,Outdoor Activities
169,Male,22,PU,Undergraduate,Computer Science,3rd year,2.25,Off-Campus,No,3,6,5,4,5,1,4,5,1,4,4,Sleep
170,Male,18,UET,Undergraduate,Computer Science,3rd year,3.25,Off-Campus,No,6,8,5,3,5,4,3,2,1,5,1,"Religious Activities, Social Connections, Online Entertainment, Sleep"
171,Male,21,FAST,Undergraduate,Computer Science,2nd year,3.75,On-Campus,No,7,6,4,5,4,4,2,3,3,1,4,Online Entertainment
